Name,Tier
Setsuna: Absent Archer,4
Shanna: Sprightly Flier,4
Sharena: Princess of Askr,4
Sharena: Spring Princess,2
Sheena: Princess of Gra,2
Shigure: Dark Sky Singer,2
Shigure: Uplifting Artist,1
Shiro: Raw Talent,3
Siegbert: Future King,2
Sigurd: Holy Knight,1
Soleil: Adorable Adorer,1
Sonya: Vengeful Mage,3
Sophia: Nabata Prophet,3
Soren: Shrewd Strategist,3
Sothe: Zephyr,3
Stahl: Viridian Knight,5
Subaki: Perfect Expert,4
Sully: Crimson Knight,6
Tailtiu: Thunder Noble,3
Takumi: Empty Vessel,4
Takumi: Prince of Soup,3
Takumi: Wild Card,3
Tana: Winged Princess,1
"Tharja: ""Normal Girl""",1
Tharja: Dark Shadow,3
Tiki: Dragon Scion,1
Tiki: Naga's Voice,1
Tiki: Summering Scion,3
Titania: Mighty Mercenary,4
Tobin: The Clueless One,5
Ursula: Blue Crow,4
Valter: Dark Moonstone,3
Virion: Elite Archer,3
Wrys: Kindly Priest,5
Xander: Paragon Knight,3
Xander: Spring Prince,6
Xander: Student Swimmer,3
Zelgius: Jet-Black General,0
Zephiel: The Liberator,2
